model_name,subjects_compared,hr_mae_bpm,hr_error_percent,hr_accuracy_percent,trace_match_percent,overall_match_percent
PhysMamba.rlap,18,3.8970,4.28,95.72,34.17,64.94
RhythmMamba.rlap,18,4.4924,4.98,95.02,34.69,64.86
ME-chunk.pure,18,4.0192,4.52,95.48,33.54,64.51
ME-chunk.rlap,18,3.6302,3.92,96.08,32.81,64.44
PhysNet.rlap,18,3.7283,4.05,95.95,32.76,64.35
PhysNet,18,3.7283,4.05,95.95,32.76,64.35
PhysFormer.pure,18,3.8704,4.16,95.84,32.76,64.30
PhysFormer.rlap,18,3.6622,3.96,96.04,32.22,64.13
FacePhys.rlap,18,3.6274,3.92,96.08,31.89,63.98
PhysNet.pure,18,4.0338,4.34,95.66,30.47,63.06
ME-flow.rlap,18,3.6443,3.95,96.05,29.64,62.85
ME-flow.pure,18,4.9958,5.48,94.52,28.94,61.73
EfficientPhys.rlap,18,4.3755,4.70,95.30,28.14,61.72
RhythmMamba.pure,18,4.7864,5.20,94.80,28.06,61.43
TSCAN.rlap,18,4.6399,5.05,94.95,25.85,60.40
PhysMamba.pure,18,5.9501,6.23,93.77,26.55,60.16
TSCAN.pure,18,7.4455,7.83,92.17,25.10,58.63
EfficientPhys.pure,18,8.7343,9.27,90.73,19.22,54.97
